1730;2.32883766969025;48.8972510523147;Porte de Saint-Ouen;PARIS-18EME;metro
1736;2.40638582344912;48.8770699912197;Porte des Lilas;PARIS-20EME;metro
1731;2.30534014881766;48.8276756893336;Porte de Vanves;PARIS-14EME;metro
1732;2.28800279639373;48.8324619819728;Porte de Versailles;PARIS-15EME;metro
1733;2.40888352534985;48.8472657113718;Porte de Vincennes;PARIS-20EME;metro
1718;2.35985580265649;48.8189346110715;Porte d'Italie;PARIS-13EME;metro
1719;2.36909494347048;48.8212704974684;Porte d'Ivry;PARIS-13EME;metro
1715;2.40601835314784;48.8354388891914;Porte Dorée;PARIS-12EME;metro
1720;2.3248055530705;48.8226012875276;Porte d'Orléans (Général Leclerc);PARIS-14EME;metro
1716;2.28183617255428;48.877964502968;Porte Maillot;PARIS-17EME;metro
1737;2.39907689689178;48.8799349564117;Pré-Saint-Gervais;PARIS-19EME;metro
1738;2.33366506577888;48.8669463020695;Pyramides;PARIS-01ER;metro
50047;2.33366506577888;48.8669463020695;Pyramides;PARIS-02EME;metro
55330;2.38488983901602;48.8738907818268;Pyrenees;PARIS-20EME;metro
1742;2.37378388489769;48.8373989542089;Quai de la Gare;PARIS-13EME;metro
1743;2.36703563413483;48.8457951983436;Quai de la Rapée;PARIS-12EME;metro
1744;2.33574247484458;48.8693729306069;Quatre Septembre;PARIS-02EME;metro
1745;2.35350496222254;48.8614000355035;Rambuteau;PARIS-04EME;metro
1659;2.26997975035107;48.8553920307943;Ranelagh;PARIS-16EME;metro
1660;2.33058309684112;48.8389637143162;Raspail;PARIS-14EME;metro
1676;2.35203525525425;48.8663118301881;Réaumur-Sébastopol;PARIS-02EME;metro
1661;2.32808305123987;48.8480544328681;Rennes;PARIS-06EME;metro
1679;2.36366959820676;48.8674860390566;République;PARIS-11EME;metro
1662;2.38611818658013;48.8472381327386;Reuilly-Diderot;PARIS-12EME;metro
1664;2.3720977804711;48.8608927535125;Richard-Lenoir;PARIS-11EME;metro
1665;2.33908809938486;48.8720139167525;Richelieu-Drouot;PARIS-09EME;metro
1666;2.37448742568144;48.8881235581407;Riquet;PARIS-19EME;metro
1667;2.42355673885079;48.85556400483;Robespierre;MONTREUIL;metro
1670;2.32098414419979;48.8825292240735;Rome;PARIS-17EME;metro
1672;2.27762632988678;48.8641004131629;Rue de la Pompe (Avenue Georges Mandel);PARIS-16EME;metro
1673;2.38914280457034;48.8521417733756;Rue des Boulets;PARIS-11EME;metro
1674;2.32556882179391;48.8557564721823;Rue du Bac;PARIS-07EME;metro
1693;2.38007329534159;48.8639878082439;Rue Saint-Maur;PARIS-11EME;metro
1680;2.37409760383489;48.8612121032505;Saint-Ambroise;PARIS-11EME;metro
1681;2.32043139650991;48.8746742716311;Saint-Augustin;PARIS-08EME;metro
22439;2.35741016429387;48.9296276098426;Saint-Denis-Porte de Paris;SAINT-DENIS;metro
50399;2.36235875823436;48.9456254805762;Saint-Denis-Universite;SAINT-DENIS;metro
1684;2.40485763553065;48.871951099492;Saint-Fargeau;PARIS-20EME;metro
1685;2.31403452688812;48.8518632147979;Saint-Francois-Xavier;PARIS-07EME;metro
1686;2.33758851215148;48.8785085363002;Saint-Georges;PARIS-09EME;metro
1687;2.33372046538119;48.8536134867907;Saint-Germain des Prés;PARIS-06EME;metro
1688;2.33622001540028;48.8332522883745;Saint-Jacques;PARIS-14EME;metro
1689;2.326185658552;48.8755778691635;Saint-Lazare;PARIS-08EME;metro
1690;2.41867310093048;48.8462977572576;Saint-Mandé;SAINT-MANDE;metro
1691;2.36140877914038;48.8395141857768;Saint-Marcel;PARIS-13EME;metro
1694;2.34346845196892;48.8532875817267;Saint-Michel;PARIS-05EME;metro
1695;2.36065335403361;48.8551436006388;Saint-Paul (Le Marais);PARIS-04EME;metro
1696;2.30982009380661;48.8721798206485;Saint-Philippe du Roule;PARIS-08EME;metro
1697;2.32693263560201;48.8465803886283;Saint-Placide;PARIS-06EME;metro
1699;2.36702409525746;48.8612805878047;Saint-Sébastien-Froissart;PARIS-03EME;metro
1698;2.33086756439724;48.8508047851976;Saint-Sulpice;PARIS-06EME;metro
1631;2.30782041849586;48.8467524550776;Ségur;PARIS-15EME;metro
1702;2.3466136387446;48.8674133308826;Sentier;PARIS-02EME;metro
1632;2.32587286292213;48.8512043552606;Sèvres-Babylone;PARIS-07EME;metro
1633;2.31018390371145;48.8451307700065;Sèvres-Lecourbe;PARIS-15EME;metro
1621;2.34709106533484;48.8946326891969;Simplon;PARIS-18EME;metro
1622;2.32268062216292;48.8585512442859;Solférino;PARIS-07EME;metro
1627;2.3670850145355;48.88430478953;Stalingrad;PARIS-19EME;metro
1628;2.35409710573389;48.8691997057755;Strasbourg-Saint-Denis;PARIS-02EME;metro
1630;2.36186696356924;48.8510338403896;Sully-Morland;PARIS-04EME;metro
55329;2.3985900637686;48.8753936353787;Telegraphe;PARIS-20EME;metro
1634;2.36108072227889;48.8663687823143;Temple;PARIS-03EME;metro
1635;2.29803071264819;48.8780661989513;Ternes;PARIS-17EME;metro
1636;2.35724192740466;48.8265068988465;Tolbiac;PARIS-13EME;metro
1638;2.33305807671909;48.87650879316;Trinité-d'Estienne d'Orves;PARIS-09EME;metro
1639;2.2870198439694;48.8629708358403;Trocadéro;PARIS-16EME;metro
1640;2.33031418026416;48.8644970966975;Tuileries;PARIS-01ER;metro
1643;2.32193434751113;48.848871662506;Vaneau;PARIS-07EME;metro
1644;2.31553023354222;48.8575166012889;Varenne;PARIS-07EME;metro
1645;2.30098263992519;48.839568032804;Vaugirard (Adolphe Chérioux);PARIS-15EME;metro
1646;2.32900321886739;48.8420036541946;Vavin;PARIS-06EME;metro
1648;2.28526726839526;48.8696716618644;Victor Hugo;PARIS-16EME;metro
1650;2.36394352657996;48.8041740664156;Villejuif-Léo Lagrange;VILLEJUIF;metro
1649;2.36697471484243;48.7870020157205;Villejuif-Louis Aragon;VILLEJUIF;metro
1651;2.3679661373898;48.7959447270881;Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse);VILLEJUIF;metro
1654;2.31527055095629;48.8810543983372;Villiers;PARIS-17EME;metro
1656;2.30804114557479;48.8416970273909;Volontaires;PARIS-15EME;metro
1657;2.37988391957515;48.8578758428685;Voltaire (Léon Blum);PARIS-11EME;metro
1658;2.30465144209881;48.8838739610152;Wagram;PARIS-17EME;metro
1983;2.30120477822829;48.7550073109313;Antony;ANTONY;rer
1985;2.3278264234916;48.7989637452115;Arcueil-Cachan;CACHAN;rer
1990;2.32979761427205;48.8728028703553;Auber;PARIS-09EME;rer
1996;2.32113446607002;48.7935073907561;Bagneux;CACHAN;rer
2013;2.50525718810179;48.75310090772;Boissy-Saint-Léger;BOISSY-SAINT-LEGER;rer
2020;2.31227819045007;48.7801183311519;Bourg-la-Reine;BOURG-LA-REINE;rer
1932;2.52618908361756;48.844336863334;Bry-sur-Marne;BRY-SUR-MARNE;rer
1934;2.16311619600879;48.6959214088611;Bures-sur-Yvette;BURES-SUR-YVETTE;rer
1935;2.70933817857896;48.8368591172941;Bussy-Saint-Georges;BUSSY-SAINT-GEORGES;rer
1948;2.51014171776252;48.806933551171;Champigny;SAINT-MAUR-DES-FOSSES;rer
1954;2.29482513792001;48.8740492794881;Charles de Gaulle-Etoile;PARIS-17EME;rer
1956;2.15514835431857;48.8852963322756;Chatou-Croissy;CHATOU;rer
1970;2.34098394909947;48.8199505116218;Cité Universitaire;PARIS-14EME;rer
1891;2.09936095415186;48.7002331731339;Courcelle-sur-Yvette;GIF-SUR-YVETTE;rer
1904;2.33189346001924;48.8335919035577;Denfert-Rochereau;PARIS-14EME;rer
1920;2.29698589922482;48.7437886832867;Fontaine-Michalon;ANTONY;rer
1921;2.29164025123294;48.7877115245683;Fontenay-aux-Roses;FONTENAY-AUX-ROSES;rer
1922;2.46465286127281;48.8437625064903;Fontenay-sous-Bois;FONTENAY-SOUS-BOIS;rer
1845;2.340738666424;48.815573502265;Gentilly;GENTILLY;rer
1847;2.13695473827724;48.6985407790816;Gif-sur-Yvette;GIF-SUR-YVETTE;rer
1863;2.46386201370874;48.8210036992678;Joinville-le-Pont;JOINVILLE-LE-PONT;rer
1870;2.30410934209306;48.7619694674283;La Croix-de-Berny;ANTONY;rer
1871;2.23778294202689;48.8918864546148;La Défense (Grande Arche);PUTEAUX;rer
1873;2.15338410493974;48.6949629337936;La Hacquinière;BURES-SUR-YVETTE;rer
1880;2.3334990531545;48.807924912672;Laplace;ARCUEIL;rer
1878;2.51291857633747;48.7948325765358;La Varenne-Chennevières;SAINT-MAUR-DES-FOSSES;rer
1884;2.1917819885305;48.7047418078257;Le Guichet;ORSAY;rer
1794;2.48575027055873;48.805095526587;Le Parc de Saint-Maur;SAINT-MAUR-DES-FOSSES;rer
1799;2.28732714443584;48.7394976208092;Les Baconnets;ANTONY;rer
15524;2.13479742151308;48.890015499552;Le Vésinet-Centre;LE VESINET;rer
15523;2.12186949767266;48.8984273174854;Le Vésinet-Le Pecq;LE VESINET;rer
1805;2.63376007764926;48.8390665706901;Lognes;LOGNES;rer
